,loss,activation_4_loss,activation_5_loss,val_loss,val_activation_4_loss,val_activation_5_loss
18,[0.24390800297260284],[0.21093691885471344],[0.0329710878431797],[7.873335361480713],[2.9986813068389893],[4.874653339385986]
19,[0.34540829062461853],[0.26921382546424866],[0.07619447261095047],[8.03116512298584],[3.0794484615325928],[4.951716899871826]
20,[0.4485608637332916],[0.37452802062034607],[0.07403287291526794],[8.172389030456543],[3.1490638256073],[5.0233259201049805]
21,[0.1707383394241333],[0.13739751279354095],[0.03334083780646324],[8.304805755615234],[3.2141783237457275],[5.090627193450928]
22,[0.2274438887834549],[0.17950843274593353],[0.04793545603752136],[8.427740097045898],[3.270428419113159],[5.15731143951416]
23,[0.13055652379989624],[0.1177292987704277],[0.012827225029468536],[8.547112464904785],[3.326296091079712],[5.220816135406494]
24,[0.4147585928440094],[0.3816138803958893],[0.03314470127224922],[8.670571327209473],[3.382629632949829],[5.287942409515381]
25,[0.3929310739040375],[0.36292004585266113],[0.03001105785369873],[8.777750968933105],[3.434267520904541],[5.343482494354248]
26,[0.06943877041339874],[0.05429621413350105],[0.015142555348575115],[8.883072853088379],[3.483675241470337],[5.399397850036621]
27,[0.1614406555891037],[0.15059596300125122],[0.010844693519175053],[8.980634689331055],[3.528560161590576],[5.452075004577637]
28,[0.08662596344947815],[0.054910529404878616],[0.03171543404459953],[9.064181327819824],[3.56839919090271],[5.495781898498535]
29,[0.11778056621551514],[0.10191226750612259],[0.015868300572037697],[9.145974159240723],[3.6070220470428467],[5.538951396942139]
30,[0.2409837245941162],[0.17691802978515625],[0.06406568735837936],[9.215612411499023],[3.6404688358306885],[5.575143337249756]
31,[0.14158861339092255],[0.12532944977283478],[0.016259169206023216],[9.2816743850708],[3.671663522720337],[5.610010147094727]
32,[0.09451406449079514],[0.08651694655418396],[0.007997115142643452],[9.341110229492188],[3.7027428150177],[5.638368129730225]
33,[0.14766131341457367],[0.13970960676670074],[0.007951702922582626],[9.377766609191895],[3.725616931915283],[5.652150630950928]
34,[0.10260065644979477],[0.0841107964515686],[0.01848984882235527],[9.412200927734375],[3.746872901916504],[5.665328025817871]
35,[0.2144903987646103],[0.19411657750606537],[0.020373815670609474],[9.445538520812988],[3.7679593563079834],[5.677579402923584]
36,[0.21798670291900635],[0.2074926644563675],[0.010494048707187176],[9.474823951721191],[3.7866804599761963],[5.6881422996521]
37,[0.10567370802164078],[0.09724680334329605],[0.008426898159086704],[9.495978355407715],[3.8040854930877686],[5.691892623901367]
38,[0.14709313213825226],[0.1324620246887207],[0.01463109627366066],[9.520637512207031],[3.8230576515197754],[5.697580814361572]
39,[0.11241648346185684],[0.09914529323577881],[0.01327118743211031],[9.537341117858887],[3.838667154312134],[5.698675155639648]
40,[0.05880826711654663],[0.04119475185871124],[0.017613520845770836],[9.537955284118652],[3.8469860553741455],[5.690968990325928]
41,[0.07715726643800735],[0.06589610129594803],[0.011261165142059326],[9.54649543762207],[3.8591742515563965],[5.687321662902832]
42,[0.05569615960121155],[0.04542626813054085],[0.010269892401993275],[9.557577133178711],[3.8713297843933105],[5.6862473487854]
43,[0.14434288442134857],[0.13157877326011658],[0.012764121405780315],[9.556465148925781],[3.880418300628662],[5.6760454177856445]
44,[0.09657976776361465],[0.09108396619558334],[0.005495803896337748],[9.553955078125],[3.886873960494995],[5.667079925537109]
45,[0.11319363862276077],[0.10254984349012375],[0.01064380258321762],[9.540882110595703],[3.88857364654541],[5.652308940887451]
46,[0.21193461120128632],[0.18336111307144165],[0.02857348322868347],[9.505126953125],[3.884079933166504],[5.62104606628418]
47,[0.04549214616417885],[0.03510920703411102],[0.01038293819874525],[9.464086532592773],[3.8776004314422607],[5.58648681640625]
48,[0.21678920090198517],[0.20061327517032623],[0.016175925731658936],[9.422261238098145],[3.871973991394043],[5.550286769866943]
49,[0.03716108947992325],[0.02907557040452957],[0.008085520006716251],[9.391621589660645],[3.8701841831207275],[5.521437644958496]
50,[0.28827330470085144],[0.27612781524658203],[0.012145484797656536],[9.365473747253418],[3.8689675331115723],[5.496506690979004]
51,[0.0434127040207386],[0.02879880927503109],[0.014613895677030087],[9.33664321899414],[3.8644824028015137],[5.472160816192627]
52,[0.15099485218524933],[0.12533468008041382],[0.02566017024219036],[9.316834449768066],[3.8651201725006104],[5.451713562011719]
53,[0.08519042283296585],[0.07264009118080139],[0.012550330720841885],[9.291589736938477],[3.8640739917755127],[5.427515983581543]
54,[0.041552525013685226],[0.02397690899670124],[0.017575616016983986],[9.26984691619873],[3.864744186401367],[5.405104160308838]
55,[0.04466542974114418],[0.031583573669195175],[0.013081853277981281],[9.255130767822266],[3.8661859035491943],[5.388944625854492]
56,[0.05253210291266441],[0.02676931954920292],[0.025762783363461494],[9.235847473144531],[3.8679606914520264],[5.367885112762451]
57,[0.07988357543945312],[0.05152343213558197],[0.028360141441226006],[9.227799415588379],[3.873450994491577],[5.354348182678223]
58,[0.1387399584054947],[0.11282789707183838],[0.02591206692159176],[9.223173141479492],[3.876878261566162],[5.3462958335876465]
59,[0.11306565999984741],[0.08033347874879837],[0.03273217752575874],[9.222992897033691],[3.8811964988708496],[5.341795444488525]
60,[0.035008348524570465],[0.02157861925661564],[0.013429731130599976],[9.217855453491211],[3.8812522888183594],[5.33660364151001]
61,[0.14133773744106293],[0.11761986464262009],[0.023717865347862244],[9.215581893920898],[3.878737449645996],[5.3368449211120605]
62,[0.06877043843269348],[0.05657411739230156],[0.012196321040391922],[9.213179588317871],[3.8761038780212402],[5.337076187133789]
63,[0.04892262443900108],[0.029050448909401894],[0.01987217552959919],[9.223546028137207],[3.8767197132110596],[5.346827030181885]
64,[0.040294695645570755],[0.023519791662693024],[0.016774902120232582],[9.236776351928711],[3.8780789375305176],[5.358697414398193]
65,[0.1555776447057724],[0.13211099803447723],[0.02346663735806942],[9.24916934967041],[3.8783657550811768],[5.370802879333496]
66,[0.1279604285955429],[0.0930638536810875],[0.03489658236503601],[9.265336990356445],[3.879237651824951],[5.3860979080200195]
67,[0.05785374715924263],[0.03974960744380951],[0.01810414344072342],[9.284244537353516],[3.8828225135803223],[5.401421546936035]
68,[0.05649907514452934],[0.04165928438305855],[0.014839786104857922],[9.301445960998535],[3.889805316925049],[5.411640167236328]
69,[0.11830917745828629],[0.1067257896065712],[0.011583380401134491],[9.31414794921875],[3.8979029655456543],[5.4162445068359375]
70,[0.11840470880270004],[0.09723466634750366],[0.021170036867260933],[9.335198402404785],[3.9101505279541016],[5.425047397613525]
71,[0.1232554018497467],[0.10648741573095322],[0.01676798425614834],[9.349843978881836],[3.9202821254730225],[5.429562568664551]
72,[0.06120579317212105],[0.052981700748205185],[0.008224098943173885],[9.37448787689209],[3.935577630996704],[5.438910007476807]
73,[0.25510862469673157],[0.21982361376285553],[0.03528502956032753],[9.40793228149414],[3.9513449668884277],[5.456587314605713]
74,[0.043021585792303085],[0.030122624710202217],[0.012898958288133144],[9.457913398742676],[3.9712648391723633],[5.486649036407471]
