,loss,activation_5_loss,activation_4_loss,val_loss,val_activation_5_loss,val_activation_4_loss
25,[0.3095262348651886],[0.061724696308374405],[0.2478015273809433],[9.051685333251953],[5.775893211364746],[3.2757933139801025]
26,[0.07115486264228821],[0.0268512275069952],[0.044303636997938156],[9.213778495788574],[5.87291955947876],[3.340857982635498]
27,[0.12156909704208374],[0.012330402620136738],[0.10923870652914047],[9.36005973815918],[5.958383560180664],[3.4016757011413574]
28,[0.0901854857802391],[0.029088566079735756],[0.0610969178378582],[9.482817649841309],[6.029784679412842],[3.4530324935913086]
29,[0.18012215197086334],[0.06050586700439453],[0.11961629241704941],[9.594951629638672],[6.09463357925415],[3.5003185272216797]
30,[0.18204723298549652],[0.014401063323020935],[0.16764616966247559],[9.693577766418457],[6.152561187744141],[3.541015625]
31,[0.10115426778793335],[0.013685911893844604],[0.08746835589408875],[9.781120300292969],[6.205112934112549],[3.5760083198547363]
32,[0.08269255608320236],[0.016821468248963356],[0.06587108224630356],[9.847721099853516],[6.246383190155029],[3.60133695602417]
33,[0.26890304684638977],[0.01808365434408188],[0.2508194148540497],[9.922386169433594],[6.291717529296875],[3.6306674480438232]
34,[0.228734090924263],[0.015468926168978214],[0.21326518058776855],[9.996699333190918],[6.336407661437988],[3.6602909564971924]
35,[0.275112509727478],[0.03789361193776131],[0.23721890151500702],[10.062143325805664],[6.374409198760986],[3.687732458114624]
36,[0.41872188448905945],[0.055660638958215714],[0.36306121945381165],[10.116003036499023],[6.406445503234863],[3.7095589637756348]
37,[0.10617277771234512],[0.008912176825106144],[0.09726061671972275],[10.17322063446045],[6.439769744873047],[3.7334508895874023]
38,[0.15417852997779846],[0.010547630488872528],[0.14363090693950653],[10.231866836547852],[6.4726104736328125],[3.7592570781707764]
39,[0.03667242079973221],[0.006521811243146658],[0.03015061281621456],[10.269192695617676],[6.494244575500488],[3.774949073791504]
40,[0.08801853656768799],[0.010395167395472527],[0.07762337476015091],[10.292919158935547],[6.507021903991699],[3.7858970165252686]
41,[0.08748635649681091],[0.0059731691144406796],[0.0815131887793541],[10.312899589538574],[6.518003940582275],[3.794895648956299]
42,[0.05266846343874931],[0.003382305381819606],[0.04928615689277649],[10.327313423156738],[6.525513172149658],[3.8018009662628174]
43,[0.10911350697278976],[0.00351156503893435],[0.10560194402933121],[10.350974082946777],[6.538005352020264],[3.8129687309265137]
44,[0.08516969531774521],[0.005062373820692301],[0.08010732382535934],[10.383708000183105],[6.5551981925964355],[3.8285105228424072]
45,[0.055031079798936844],[0.005244677420705557],[0.04978640377521515],[10.39425277709961],[6.5606584548950195],[3.8335940837860107]
46,[0.22276581823825836],[0.016976958140730858],[0.20578885078430176],[10.385899543762207],[6.556573390960693],[3.8293251991271973]
47,[0.01266065239906311],[0.002726644976064563],[0.009934007190167904],[10.380399703979492],[6.5544328689575195],[3.8259658813476562]
48,[0.1612410545349121],[0.01605967991054058],[0.14518137276172638],[10.365276336669922],[6.5472002029418945],[3.818074941635132]
49,[0.010780672542750835],[0.003671058686450124],[0.007109613623470068],[10.35606861114502],[6.544829368591309],[3.8112378120422363]
50,[0.2102775126695633],[0.020750654861330986],[0.18952684104442596],[10.350708961486816],[6.544439792633057],[3.806269645690918]
51,[0.019053392112255096],[0.0034298209939152002],[0.015623570419847965],[10.344391822814941],[6.543968200683594],[3.8004229068756104]
52,[0.13975004851818085],[0.010618413798511028],[0.12913163006305695],[10.338361740112305],[6.543764591217041],[3.794597625732422]
53,[0.0233918484300375],[0.0015351688489317894],[0.021856678649783134],[10.315354347229004],[6.533957481384277],[3.7813968658447266]
54,[0.019570454955101013],[0.00766909122467041],[0.011901364661753178],[10.288833618164062],[6.521605014801025],[3.7672271728515625]
55,[0.044234152883291245],[0.002183781238272786],[0.04205036535859108],[10.250189781188965],[6.5020904541015625],[3.7480990886688232]
56,[0.01929149217903614],[0.002744915196672082],[0.016546577215194702],[10.206501960754395],[6.479831695556641],[3.7266695499420166]
57,[0.04503999650478363],[0.0014626540942117572],[0.043577343225479126],[10.170663833618164],[6.46159553527832],[3.709068536758423]
58,[0.11372074484825134],[0.003726356429979205],[0.10999438911676407],[10.148845672607422],[6.450435638427734],[3.698408603668213]
59,[0.06572220474481583],[0.002266902709379792],[0.06345530599355698],[10.133085250854492],[6.442416667938232],[3.6906681060791016]
60,[0.036366332322359085],[0.0009439525310881436],[0.03542238101363182],[10.105307579040527],[6.428110122680664],[3.677196502685547]
61,[0.03170791268348694],[0.002480278490111232],[0.029227634891867638],[10.070195198059082],[6.410292148590088],[3.659903049468994]
62,[0.059955548495054245],[0.0008287644013762474],[0.059126779437065125],[10.032475471496582],[6.391876220703125],[3.640599489212036]
63,[0.028446421027183533],[0.0024619107134640217],[0.02598450891673565],[10.004030227661133],[6.378841400146484],[3.6251885890960693]
64,[0.009329330176115036],[0.0006742663099430501],[0.0086550647392869],[9.988227844238281],[6.371939659118652],[3.6162869930267334]
65,[0.24697069823741913],[0.009489072486758232],[0.23748163878917694],[9.994241714477539],[6.378469944000244],[3.615771770477295]
66,[0.09803301841020584],[0.028950544074177742],[0.06908247619867325],[10.000527381896973],[6.384291648864746],[3.6162359714508057]
67,[0.018405035138130188],[0.0009875245159491897],[0.017417512834072113],[10.013336181640625],[6.392905235290527],[3.620431661605835]
68,[0.03911636397242546],[0.003214566269889474],[0.03590179607272148],[10.046021461486816],[6.411962509155273],[3.6340584754943848]
69,[0.13202287256717682],[0.008016565814614296],[0.12400630861520767],[10.086891174316406],[6.434569835662842],[3.6523215770721436]
70,[0.054936110973358154],[0.0053949132561683655],[0.04954119399189949],[10.147921562194824],[6.467611789703369],[3.6803081035614014]
71,[0.09126895666122437],[0.0013067895779386163],[0.0899621769785881],[10.207962989807129],[6.4998626708984375],[3.708101511001587]
72,[0.07985957711935043],[0.0016697918763384223],[0.07818978279829025],[10.259766578674316],[6.526930809020996],[3.7328364849090576]
73,[0.1552739143371582],[0.012574680149555206],[0.1426992267370224],[10.315510749816895],[6.556110382080078],[3.7594006061553955]
74,[0.011872653849422932],[0.0010099904611706734],[0.010862663388252258],[10.364249229431152],[6.582080364227295],[3.7821686267852783]
