,activation_4_loss,loss,activation_5_loss,val_activation_4_loss,val_loss,val_activation_5_loss
25,[0.029999688267707825],[0.03721329942345619],[0.0072136130183935165],[2.31782865524292],[6.727253437042236],[4.409425735473633]
26,[0.05597919598221779],[0.061099570244550705],[0.00512037193402648],[2.3233230113983154],[6.745133399963379],[4.421811103820801]
27,[0.11531101912260056],[0.12019703537225723],[0.0048860181123018265],[2.3224878311157227],[6.747499942779541],[4.425012588500977]
28,[0.12406033277511597],[0.14783401787281036],[0.023773685097694397],[2.3223464488983154],[6.752281665802002],[4.429935932159424]
29,[0.023617571219801903],[0.0269871037453413],[0.003369532525539398],[2.3238155841827393],[6.761825084686279],[4.4380106925964355]
30,[0.04387766122817993],[0.04659908637404442],[0.0027214232832193375],[2.3258209228515625],[6.772775650024414],[4.446953773498535]
31,[0.13040094077587128],[0.1332068294286728],[0.002805874450132251],[2.3287863731384277],[6.785589218139648],[4.456803321838379]
32,[0.04818415641784668],[0.05901437625288963],[0.010830216109752655],[2.3331751823425293],[6.801664352416992],[4.468489170074463]
33,[0.06655775755643845],[0.07356669753789902],[0.007008932065218687],[2.3381998538970947],[6.819461345672607],[4.481260776519775]
34,[0.00837722234427929],[0.010668612085282803],[0.002291389973834157],[2.3447446823120117],[6.840789794921875],[4.496045112609863]
35,[0.058438707143068314],[0.07142324000597],[0.012984524480998516],[2.3509581089019775],[6.860702991485596],[4.5097455978393555]
36,[0.028064385056495667],[0.03305743262171745],[0.004993047099560499],[2.360300302505493],[6.8871612548828125],[4.526861190795898]
37,[0.027806520462036133],[0.03206033632159233],[0.004253816325217485],[2.3702120780944824],[6.914631366729736],[4.54442024230957]
38,[0.07506036013364792],[0.0767819955945015],[0.0017216423293575644],[2.3782880306243896],[6.936443328857422],[4.5581560134887695]
39,[0.015620729885995388],[0.01920057274401188],[0.0035798419266939163],[2.388125419616699],[6.961323261260986],[4.573197841644287]
40,[0.04345564916729927],[0.047067586332559586],[0.0036119406577199697],[2.3978939056396484],[6.986842632293701],[4.588949203491211]
41,[0.10409364849328995],[0.11135784536600113],[0.007264193147420883],[2.409250020980835],[7.0164008140563965],[4.607151508331299]
42,[0.05515986680984497],[0.06914522498846054],[0.013985360972583294],[2.420433759689331],[7.046119213104248],[4.62568473815918]
43,[0.029100412502884865],[0.03041737712919712],[0.0013169636949896812],[2.432192802429199],[7.077114582061768],[4.64492130279541]
44,[0.008085009641945362],[0.00975260604172945],[0.0016675962833687663],[2.4465107917785645],[7.112858295440674],[4.666347503662109]
45,[0.09142926335334778],[0.09611406177282333],[0.00468479236587882],[2.460493564605713],[7.147297382354736],[4.686802864074707]
46,[0.030061302706599236],[0.034043315798044205],[0.0039820135571062565],[2.4746580123901367],[7.181674480438232],[4.707016468048096]
47,[0.00806854572147131],[0.008919931016862392],[0.0008513846551068127],[2.487729549407959],[7.213258266448975],[4.72553014755249]
48,[0.04914602264761925],[0.05320373550057411],[0.004057717975229025],[2.4987435340881348],[7.241011619567871],[4.742267608642578]
49,[0.015122736804187298],[0.016285277903079987],[0.0011625420302152634],[2.509829044342041],[7.268752574920654],[4.7589240074157715]
50,[0.003807276487350464],[0.005156482569873333],[0.0013492065481841564],[2.5201046466827393],[7.294804096221924],[4.774699687957764]
51,[0.02552657015621662],[0.02655700035393238],[0.0010304298484697938],[2.530484676361084],[7.320435047149658],[4.789951324462891]
52,[0.030635587871074677],[0.03181248530745506],[0.0011768953409045935],[2.540452241897583],[7.3451738357543945],[4.804721355438232]
53,[0.004275624640285969],[0.005902202799916267],[0.0016265781596302986],[2.5503592491149902],[7.369947910308838],[4.819587707519531]
54,[0.0351506732404232],[0.0483882874250412],[0.013237613253295422],[2.546255111694336],[7.367385387420654],[4.821130275726318]
55,[0.009476571343839169],[0.010571569204330444],[0.0010949976276606321],[2.5411734580993652],[7.362613201141357],[4.821439266204834]
56,[0.0402037613093853],[0.04233244061470032],[0.0021286786068230867],[2.538205623626709],[7.361410140991211],[4.82320499420166]
57,[0.008732307702302933],[0.00988104846328497],[0.0011487399460747838],[2.5368757247924805],[7.3629889488220215],[4.826113224029541]
58,[0.009292147122323513],[0.011923623271286488],[0.0026314752176404],[2.537421941757202],[7.368815898895264],[4.831393241882324]
59,[0.039810456335544586],[0.04294442757964134],[0.003133968450129032],[2.541961431503296],[7.383634090423584],[4.841672897338867]
60,[0.0022437230218201876],[0.004280464258044958],[0.0020367412362247705],[2.546623706817627],[7.398787498474121],[4.852162837982178]
61,[0.011351355351507664],[0.012450945563614368],[0.0010995903285220265],[2.5509276390075684],[7.4126877784729],[4.86176061630249]
62,[0.005221739877015352],[0.0075677488930523396],[0.0023460087832063437],[2.5545742511749268],[7.424727916717529],[4.870153903961182]
63,[0.002749551087617874],[0.004105372354388237],[0.0013558216160163283],[2.559453010559082],[7.440418720245361],[4.880965709686279]
64,[0.015718303620815277],[0.016940543428063393],[0.0012222385266795754],[2.5656802654266357],[7.458167552947998],[4.892487049102783]
65,[0.00757376616820693],[0.00835620891302824],[0.0007824419881217182],[2.571404218673706],[7.474362850189209],[4.902957916259766]
66,[0.0021444046869874],[0.0026711300015449524],[0.0005267253727652133],[2.5772552490234375],[7.491304397583008],[4.9140496253967285]
67,[0.004427039995789528],[0.007206557784229517],[0.0027795175556093454],[2.582548141479492],[7.506485939025879],[4.923936367034912]
68,[0.0013532753800973296],[0.002464119577780366],[0.0011108443140983582],[2.5874857902526855],[7.520471572875977],[4.932986259460449]
69,[0.010329166427254677],[0.011396560817956924],[0.001067394739948213],[2.592629909515381],[7.534519195556641],[4.94188928604126]
70,[0.0072418577037751675],[0.007911636494100094],[0.0006697783246636391],[2.5963385105133057],[7.5456695556640625],[4.949330806732178]
71,[0.007068360690027475],[0.007899433374404907],[0.0008310728590004146],[2.599698543548584],[7.555863380432129],[4.956164836883545]
72,[0.0017622607992962003],[0.002346743131056428],[0.0005844821571372449],[2.6031033992767334],[7.56559419631958],[4.962490558624268]
73,[0.009885105304419994],[0.014707110822200775],[0.0048220050521194935],[2.606661558151245],[7.575298309326172],[4.968636989593506]
74,[0.0009060914744623005],[0.0014010524610057473],[0.0004949611029587686],[2.6112985610961914],[7.587430000305176],[4.976131916046143]
