,activation_5_loss,loss,activation_4_loss,val_activation_5_loss,val_loss,val_activation_4_loss
21,[0.07699034363031387],[0.29335111379623413],[0.21636076271533966],[3.8562397956848145],[5.976596832275391],[2.1203575134277344]
22,[0.08856888860464096],[0.5354852080345154],[0.4469163417816162],[3.8611507415771484],[5.9884538650512695],[2.1273033618927]
23,[0.06678994745016098],[0.4919343888759613],[0.4251444339752197],[3.868813991546631],[6.003264904022217],[2.134451389312744]
24,[0.05050577223300934],[0.36871472001075745],[0.3182089626789093],[3.8900249004364014],[6.045127868652344],[2.1551032066345215]
25,[0.038137953728437424],[0.3259551525115967],[0.28781720995903015],[3.900761604309082],[6.069311618804932],[2.1685500144958496]
26,[0.051496971398591995],[0.34014928340911865],[0.28865230083465576],[3.9130711555480957],[6.094519138336182],[2.181447744369507]
27,[0.12170609831809998],[0.5330982804298401],[0.4113922119140625],[3.921107292175293],[6.114377498626709],[2.1932711601257324]
28,[0.053734809160232544],[0.2674185037612915],[0.21368367969989777],[3.919327974319458],[6.119512557983398],[2.2001852989196777]
29,[0.048491474241018295],[0.25938042998313904],[0.21088898181915283],[3.934108257293701],[6.152101516723633],[2.2179932594299316]
30,[0.0963117852807045],[0.27654287219047546],[0.18023109436035156],[3.9645001888275146],[6.211670398712158],[2.2471699714660645]
31,[0.09503757953643799],[0.259270042181015],[0.16423247754573822],[3.993556022644043],[6.269148826599121],[2.2755932807922363]
32,[0.02557043544948101],[0.34787270426750183],[0.3223022520542145],[4.018526554107666],[6.320141315460205],[2.301614284515381]
33,[0.16692771017551422],[0.5438482761383057],[0.37692055106163025],[4.0530571937561035],[6.389932632446289],[2.336876392364502]
34,[0.07310257852077484],[0.28154265880584717],[0.20844008028507233],[4.09917688369751],[6.481820583343506],[2.382643222808838]
35,[0.04052695631980896],[0.4525754451751709],[0.41204845905303955],[4.138247489929199],[6.559962749481201],[2.421715021133423]
36,[0.0287927333265543],[0.20844298601150513],[0.17965024709701538],[4.207589626312256],[6.697926998138428],[2.49033784866333]
37,[0.053824055939912796],[0.2993820607662201],[0.2455580234527588],[4.280874729156494],[6.83860969543457],[2.5577354431152344]
38,[0.05132696405053139],[0.3761249780654907],[0.32479801774024963],[4.35217809677124],[6.973694801330566],[2.6215169429779053]
39,[0.07460793852806091],[0.20123688876628876],[0.12662895023822784],[4.403467178344727],[7.070082187652588],[2.6666147708892822]
40,[0.15811578929424286],[0.37203896045684814],[0.21392317116260529],[4.449473857879639],[7.1538848876953125],[2.7044107913970947]
41,[0.074930340051651],[0.28920629620552063],[0.21427595615386963],[4.494441032409668],[7.239043712615967],[2.744602918624878]
42,[0.042458426207304],[0.23647469282150269],[0.1940162628889084],[4.550781726837158],[7.34409761428833],[2.7933156490325928]
43,[0.07744850963354111],[0.19586223363876343],[0.11841372400522232],[4.584268569946289],[7.408626079559326],[2.8243565559387207]
44,[0.05898396298289299],[0.16669099032878876],[0.10770704597234726],[4.61689567565918],[7.469409942626953],[2.852513551712036]
45,[0.09789245575666428],[0.2572188675403595],[0.15932638943195343],[4.649936676025391],[7.527286052703857],[2.8773484230041504]
46,[0.050168704241514206],[0.19945257902145386],[0.14928387105464935],[4.696117877960205],[7.609525680541992],[2.91340708732605]
47,[0.040524922311306],[0.32536327838897705],[0.28483834862709045],[4.7365031242370605],[7.676887035369873],[2.940382957458496]
48,[0.03559431806206703],[0.1870589256286621],[0.15146459639072418],[4.772201061248779],[7.734665870666504],[2.9624650478363037]
49,[0.016203517094254494],[0.23045463860034943],[0.21425111591815948],[4.806529521942139],[7.788920879364014],[2.982391595840454]
50,[0.058524519205093384],[0.11737781018018723],[0.058853283524513245],[4.821855545043945],[7.808621883392334],[2.986766815185547]
51,[0.02736986242234707],[0.1592705100774765],[0.13190065324306488],[4.837157249450684],[7.826690673828125],[2.989532232284546]
52,[0.058759719133377075],[0.173981174826622],[0.11522144824266434],[4.846668720245361],[7.828821182250977],[2.982151746749878]
53,[0.05643100664019585],[0.29722723364830017],[0.24079620838165283],[4.851054668426514],[7.822216510772705],[2.9711618423461914]
54,[0.07855263352394104],[0.22663579881191254],[0.1480831503868103],[4.850841999053955],[7.811966419219971],[2.961123466491699]
55,[0.02978508174419403],[0.07725736498832703],[0.047472286969423294],[4.8571062088012695],[7.813233375549316],[2.9561281204223633]
56,[0.02148599736392498],[0.08262483030557632],[0.0611388273537159],[4.863279342651367],[7.813136577606201],[2.9498562812805176]
57,[0.039674486964941025],[0.09302408248186111],[0.05334960296750069],[4.884695053100586],[7.842754364013672],[2.958059072494507]
58,[0.053013578057289124],[0.27581435441970825],[0.22280077636241913],[4.908682823181152],[7.879157543182373],[2.9704737663269043]
59,[0.05689733102917671],[0.10907556861639023],[0.05217823386192322],[4.940578460693359],[7.931273460388184],[2.990694284439087]
60,[0.028054922819137573],[0.11225488036870956],[0.08419996500015259],[4.968911647796631],[7.978985786437988],[3.0100743770599365]
61,[0.011931593529880047],[0.122592031955719],[0.11066044121980667],[4.990960597991943],[8.015496253967285],[3.0245351791381836]
62,[0.0448296032845974],[0.2668103277683258],[0.2219807356595993],[5.013204574584961],[8.051783561706543],[3.0385782718658447]
63,[0.048547688871622086],[0.17944441735744476],[0.13089673221111298],[5.038154125213623],[8.094972610473633],[3.0568196773529053]
64,[0.06270986050367355],[0.21659070253372192],[0.15388084948062897],[5.061696529388428],[8.135772705078125],[3.0740764141082764]
65,[0.03083481453359127],[0.10124325752258301],[0.07040844112634659],[5.093438625335693],[8.190899848937988],[3.097459554672241]
66,[0.024134675040841103],[0.21434642374515533],[0.19021175801753998],[5.113038063049316],[8.223225593566895],[3.1101880073547363]
67,[0.057039156556129456],[0.24510306119918823],[0.18806390464305878],[5.110385417938232],[8.212024688720703],[3.1016385555267334]
68,[0.02331448532640934],[0.10988356918096542],[0.08656907826662064],[5.112502098083496],[8.215445518493652],[3.1029417514801025]
69,[0.02033662237226963],[0.07558831572532654],[0.055251698940992355],[5.118962287902832],[8.226483345031738],[3.1075215339660645]
70,[0.019344134256243706],[0.13749055564403534],[0.11814641952514648],[5.116415023803711],[8.224237442016602],[3.1078238487243652]
71,[0.026039863005280495],[0.07441394031047821],[0.048374075442552567],[5.105713844299316],[8.211456298828125],[3.105741500854492]
72,[0.03821462392807007],[0.1309867650270462],[0.09277214854955673],[5.104557037353516],[8.214030265808105],[3.1094727516174316]
73,[0.06357961893081665],[0.11013424396514893],[0.04655463621020317],[5.102578639984131],[8.21384334564209],[3.111264228820801]
74,[0.036452602595090866],[0.08174518495798111],[0.045292582362890244],[5.10644006729126],[8.2210693359375],[3.114628791809082]
