,activation_4_loss,activation_5_loss,loss,val_activation_4_loss,val_activation_5_loss,val_loss
48,[0.8698651790618896],[0.1295967400074005],[0.9994619488716125],[2.80702805519104],[4.610179901123047],[7.417207717895508]
49,[0.30941489338874817],[0.14978466928005219],[0.45919957756996155],[2.8126602172851562],[4.623810768127441],[7.436470985412598]
50,[0.27005165815353394],[0.22861604392528534],[0.4986676871776581],[2.83091402053833],[4.6488423347473145],[7.47975492477417]
51,[0.4553395211696625],[0.27769216895103455],[0.733031690120697],[2.8457281589508057],[4.673224449157715],[7.518953323364258]
52,[0.5564478039741516],[0.511094868183136],[1.0675426721572876],[2.8705713748931885],[4.705349445343018],[7.575920581817627]
53,[0.40528345108032227],[0.7249657511711121],[1.130249261856079],[2.8914103507995605],[4.731820583343506],[7.623230934143066]
54,[0.08780088275671005],[0.04279634729027748],[0.13059723377227783],[2.915051221847534],[4.756906986236572],[7.671959400177002]
55,[0.9645413756370544],[0.6695309281349182],[1.6340723037719727],[2.9418563842773438],[4.784738063812256],[7.726594924926758]
56,[1.2259528636932373],[0.375089555978775],[1.60104238986969],[2.9687306880950928],[4.810837745666504],[7.779569149017334]
57,[0.49145421385765076],[0.22642569243907928],[0.7178798317909241],[2.980578899383545],[4.823206901550293],[7.803786277770996]
58,[0.31080588698387146],[0.17144876718521118],[0.48225465416908264],[2.9752323627471924],[4.809217929840088],[7.784450531005859]
59,[0.3281075656414032],[0.15243154764175415],[0.48053911328315735],[2.9809556007385254],[4.809558868408203],[7.7905144691467285]
60,[1.1151138544082642],[0.4958922863006592],[1.6110061407089233],[2.9878933429718018],[4.813502788543701],[7.80139684677124]
61,[0.09954794496297836],[0.08757596462965012],[0.18712389469146729],[3.0179800987243652],[4.830968379974365],[7.848948001861572]
62,[0.8893519043922424],[0.5878189206123352],[1.4771708250045776],[3.034809112548828],[4.834019184112549],[7.868828296661377]
63,[0.9750540256500244],[0.5853396058082581],[1.5603936910629272],[3.0464656352996826],[4.835681438446045],[7.882147312164307]
64,[0.1337413787841797],[0.09988978505134583],[0.2336311787366867],[3.0694282054901123],[4.849708557128906],[7.919137477874756]
65,[0.7595146298408508],[0.6801279187202454],[1.4396425485610962],[3.094877004623413],[4.866868019104004],[7.961744785308838]
66,[1.749740719795227],[0.2620248794555664],[2.011765718460083],[3.1187405586242676],[4.889833927154541],[8.008573532104492]
67,[0.6453081965446472],[0.2354387640953064],[0.8807470202445984],[3.160780668258667],[4.9338812828063965],[8.094661712646484]
68,[0.4065903127193451],[0.17024898529052734],[0.57683926820755],[3.2064132690429688],[4.9834136962890625],[8.189827919006348]
69,[0.4639546871185303],[0.595581591129303],[1.059536337852478],[3.2472763061523438],[5.027988433837891],[8.27526569366455]
70,[0.1327374130487442],[0.07519876211881638],[0.20793616771697998],[3.253720760345459],[5.04410457611084],[8.297825813293457]
71,[0.7751212120056152],[0.5554203987121582],[1.3305416107177734],[3.2647743225097656],[5.064606189727783],[8.329381942749023]
72,[0.5613687038421631],[0.06611272692680359],[0.6274814605712891],[3.28377366065979],[5.091182231903076],[8.374956130981445]
73,[0.25873425602912903],[0.2722969353199005],[0.5310311913490295],[3.3085250854492188],[5.1249165534973145],[8.433441162109375]
74,[0.6096586585044861],[0.2987864911556244],[0.9084451794624329],[3.3199899196624756],[5.1435227394104],[8.46351146697998]
